"State","FIPS","Name","TotalVotes","Obama","Romney"
"IL",17065,"Hamilton",3935,1266,2566
"IL",17063,"Grundy",20956,9319,11198
"IL",17061,"Greene",5614,2023,3446
"IL",17059,"Gallatin",2569,1028,1492
"IL",17057,"Fulton",15337,8324,6622
"IL",17055,"Franklin",17891,7245,10253
"IL",17053,"Ford",6000,1654,4225
"IL",17051,"Fayette",8963,2848,5950
"IL",17049,"Effingham",16595,3855,12491
"IL",17047,"Edwards",3225,754,2402
"IL",17045,"Edgar",7810,2563,5125
"IL",17043,"DuPage",397173,197411,193333
"IL",17041,"Douglas",7889,2426,5331
"IL",17039,"DeWitt",7338,2598,4576
"IL",17037,"DeKalb",41020,21171,18906
"IL",17035,"Cumberland",5290,1640,3506
"IL",17033,"Crawford",8598,2855,5577
"IL",17031,"Cook",1944401,1439123,479204
"IL",17029,"Coles",21338,9252,11623
"IL",17027,"Clinton",16394,5577,10493
"IL",17025,"Clay",5899,1581,4184
"IL",17023,"Clark",7843,2587,5138
"IL",17021,"Christian",14682,5487,8873
"IL",17019,"Champaign",77620,40378,35086
"IL",17017,"Cass",4858,2050,2707
"IL",17015,"Carroll",7370,3658,3551
"IL",17013,"Calhoun",2574,1079,1439
"IL",17011,"Bureau",16599,8118,8151
"IL",17009,"Brown",2362,787,1511
"IL",17007,"Boone",21333,9868,11084
"IL",17005,"Bond",7316,3016,4091
"IL",17003,"Alexander",3495,1961,1485
"IL",17001,"Adams",30538,9627,20371
"ID",16087,"Washington",4330,1104,3128
"ID",16085,"Valley",4919,2095,2664
"ID",16083,"Twin Falls",28142,7541,19773
"ID",16081,"Teton",4523,1926,2458
"ID",16079,"Shoshone",5148,2277,2699
"ID",16077,"Power",2903,982,1870
"ID",16075,"Payette",8495,2271,6004
"ID",16073,"Owyhee",3723,833,2794
"ID",16071,"Oneida",2089,217,1838
"ID",16069,"Nez Perce",16848,6451,9967
"ID",16067,"Minidoka",6973,1390,5442
"ID",16065,"Madison",14412,832,13445
"ID",16063,"Lincoln",1622,429,1141
"ID",16061,"Lewis",1612,396,1173
"ID",16059,"Lemhi",4109,960,3029
"ID",16057,"Latah",16759,8306,7589
"ID",16055,"Kootenai",59764,18824,39347
"ID",16053,"Jerome",6681,1699,4804
"ID",16051,"Jefferson",11381,1303,9895
"ID",16049,"Idaho County",7749,1722,5821
"ID",16047,"Gooding",5118,1287,3696
"ID",16045,"Gem",7490,1957,5311
"ID",16043,"Fremont",5802,810,4907
"ID",16041,"Franklin",5600,325,5195
"ID",16039,"Elmore",8001,2513,5227
"ID",16037,"Custer",2352,530,1744
"ID",16035,"Clearwater",3696,1032,2541
"ID",16033,"Clark",328,66,235
"ID",16031,"Cassia",8387,1093,7150
"ID",16029,"Caribou",3050,385,2608
"ID",16027,"Canyon",66090,19866,44369
"ID",16025,"Camas",578,159,402
"ID",16023,"Butte",1286,258,1001
"ID",16021,"Boundary",4544,1225,3138
"ID",16019,"Bonneville",43302,9929,32336
"ID",16017,"Bonner",18536,6500,11367
"ID",16015,"Boise",3345,953,2284
"ID",16013,"Blaine",10194,5992,3939
"ID",16011,"Bingham",17603,3822,13440
"ID",16009,"Benewah",3884,1164,2596
"ID",16007,"Bear Lake",2822,302,2489
"ID",16005,"Bannock",35260,13214,21010
"ID",16003,"Adams",2060,577,1413
"ID",16001,"Ada",180361,77043,97471
"HI",15009,"Maui",48547,35979,11577
"HI",15007,"Kauai",25369,18638,6121
"HI",15003,"Honolulu",292925,201803,87255
"HI",15001,"Hawaii",62653,46670,14541
"GA",13321,"Worth",8410,2486,5864
"GA",13319,"Wilkinson",4448,2180,2245
"GA",13317,"Wilkes",4746,2080,2628
"GA",13315,"Wilcox",3124,1059,2050
"GA",13313,"Whitfield",26828,7193,19290
"GA",13311,"White",10471,1670,8647
"GA",13309,"Wheeler",2160,772,1366
"GA",13307,"Webster",1175,573,598
"GA",13305,"Wayne",10258,2594,7553
"GA",13303,"Washington",8796,4705,4033
"GA",13301,"Warren",2522,1525,990
"GA",13299,"Ware",11923,3892,7933
"GA",13297,"Walton",37570,8139,29018
"GA",13295,"Walker",21879,5269,16245
"GA",13293,"Upson",11257,3955,7229
"GA",13291,"Union",11072,2137,8771
"GA",13289,"Twiggs",4199,2269,1905
"GA",13287,"Turner",3556,1508,2027
"GA",13285,"Troup",25975,10545,15170
"GA",13283,"Treutlen",2738,1068,1646
"GA",13281,"Towns",6159,1265,4834
"GA",13279,"Toombs",9333,2740,6519
"GA",13277,"Tift",13893,4640,9171
"GA",13275,"Thomas",18943,7651,11153
"GA",13273,"Terrell",4398,2544,1834
"GA",13271,"Telfair",4334,1804,2479
"GA",13269,"Taylor",3537,1571,1948
"GA",13267,"Tattnall",6658,1894,4702
"GA",13265,"Taliaferro",961,636,321
"GA",13263,"Talbot",3490,2264,1202
"GA",13261,"Sumter",11820,6370,5372
"GA",13259,"Stewart",2055,1307,740
"GA",13257,"Stephens",9467,2123,7207
"GA",13255,"Spalding",25057,9884,14901
"GA",13253,"Seminole",3765,1475,2244
"GA",13251,"Screven",6093,2769,3285
"GA",13249,"Schley",1748,448,1286
"GA",13247,"Rockdale",37879,21878,15671
"GA",13245,"Richmond",78865,52461,25821
"GA",13243,"Randolph",3015,1749,1249
"GA",13241,"Rabun",7438,1558,5753
"GA",13239,"Quitman",1128,612,510
"GA",13237,"Putnam",9205,2917,6210
"GA",13235,"Pulaski",3681,1219,2444
"GA",13233,"Polk",13580,3608,9798
"GA",13231,"Pike",8099,1355,6660
